Num,Nombre,Subestacion,Zona,Tipo,[kV],Max_V[p.u.],Min_v[p.u.],Fuera_Servicio
0.000000,ALICE 0/ALICE_115 kV,ALICE_115 kV/ALICE 0/ALICE_115 kV/ALICE_1/115.000000,4 SOUTH,0.000000,115.000000,1.050000,0.950000,0.000000
1.000000,ARANSAS PASS 0/ARANSAS PASS_115 kV,ARANSAS PASS_115 kV/ARANSAS PASS 0/ARANSAS PASS_115 kV/ARANS_1/115.000000,4 SOUTH,0.000000,115.000000,1.050000,0.950000,0.000000
2.000000,ARMSTRONG 1 1/ARMSTRONG 1_115 kV,ARMSTRONG 1_115 kV/ARMSTRONG 1 1/ARMSTRONG 1_115 kV/ARMST_1/115.000000,4 SOUTH,0.000000,115.000000,1.050000,0.950000,0.000000
3.000000,ARMSTRONG 1 2/ARMSTRONG 1_18 kV,ARMSTRONG 1_18 kV/ARMSTRONG 1 2/ARMSTRONG 1_18 kV/ARMST_1/18.000000,4 SOUTH,0.000000,18.000000,1.050000,0.950000,0.000000
4.000000,ARMSTRONG 1 0/ARMSTRONG 1_230 kV,ARMSTRONG 1_230 kV/ARMSTRONG 1 0/ARMSTRONG 1_230 kV/ARMST_1/230.000000,4 SOUTH,0.000000,230.000000,1.050000,0.950000,0.000000
5.000000,ARMSTRONG 2 0/ARMSTRONG 2_115 kV,ARMSTRONG 2_115 kV/ARMSTRONG 2 0/ARMSTRONG 2_115 kV/ARMST_1/115.000000,4 SOUTH,0.000000,115.000000,1.050000,0.950000,0.000000
6.000000,BEEVILLE 0/BEEVILLE_115 kV,BEEVILLE_115 kV/BEEVILLE 0/BEEVILLE_115 kV/BEEVI_1/115.000000,4 SOUTH,0.000000,115.000000,1.050000,0.950000,0.000000
7.000000,BISHOP 0/BISHOP_115 kV,BISHOP_115 kV/BISHOP 0/BISHOP_115 kV/BISHO_1/115.000000,4 SOUTH,0.000000,115.000000,1.050000,0.950000,0.000000
8.000000,BISHOP 1/BISHOP_18 kV,BISHOP_18 kV/BISHOP 1/BISHOP_18 kV/BISHO_1/18.000000,4 SOUTH,0.000000,18.000000,1.050000,0.950000,0.000000
9.000000,BROWNSVILLE 1 1/BROWNSVILLE 1_115 kV,BROWNSVILLE 1_115 kV/BROWNSVILLE 1 1/BROWNSVILLE 1_115 kV/BROWN_1/115.000000,4 SOUTH,0.000000,115.000000,1.050000,0.950000,0.000000
10.000000,BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,4 SOUTH,0.000000,230.000000,1.050000,0.950000,0.000000
